symbol,name,baseAsset,quoteAsset,sector,industry,exchange,priceStep,quantityStep,minQuantity
ROP,"Roper Technologies, Inc.",ROP,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
CTAS,Cintas Corporation,CTAS,USD,Industrials,Specialty Business Services,NMS,0.01,1.0,1.0
ADSK,"Autodesk, Inc.",ADSK,USD,Technology,Software - Application,NMS,0.01,1.0,1.0
TT,Trane Technologies plc,TT,USD,Industrials,Building Products & Equipment,NYQ,0.01,1.0,1.0
CMI,Cummins Inc.,CMI,USD,Industrials,Specialty Industrial Machinery,NYQ,0.01,1.0,1.0
PCAR,PACCAR Inc.,PCAR,USD,Industrials,Farm & Heavy Construction Machinery,NMS,0.01,1.0,1.0
CSX,CSX Corporation,CSX,USD,Industrials,Railroads,NMS,0.01,1.0,1.0
CP,Canadian Pacific Kansas City Li,CP,USD,Industrials,Railroads,NYQ,0.01,1.0,1.0
CNI,Canadian National Railway Compa,CNI,USD,Industrials,Railroads,NYQ,0.01,1.0,1.0
GD,General Dynamics Corporation,GD,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
NOC,Northrop Grumman Corporation,NOC,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
TXT,Textron Inc.,TXT,USD,Industrials,Aerospace & Defense,NYQ,0.01,1.0,1.0
IR,Ingersoll Rand Inc.,IR,USD,Industrials,Specialty Industrial Machinery,NYQ,0.01,1.0,1.0
JCI,Johnson Controls International ,JCI,USD,Industrials,Building Products & Equipment,NYQ,0.01,1.0,1.0
FAST,Fastenal Company,FAST,USD,Industrials,Industrial Distribution,NMS,0.01,1.0,1.0
URI,"United Rentals, Inc.",URI,USD,Industrials,Rental & Leasing Services,NYQ,0.01,1.0,1.0
T,AT&T Inc.,T,USD,Communication Services,Telecom Services,NYQ,0.01,1.0,1.0
VZ,Verizon Communications Inc.,VZ,USD,Communication Services,Telecom Services,NYQ,0.01,1.0,1.0
TMUS,"T-Mobile US, Inc.",TMUS,USD,Communication Services,Telecom Services,NMS,0.01,1.0,1.0
CMCSA,Comcast Corporation,CMCSA,USD,Communication Services,Telecom Services,NMS,0.01,1.0,1.0
CHTR,"Charter Communications, Inc.",CHTR,USD,Communication Services,Telecom Services,NMS,0.01,1.0,1.0
EA,Electronic Arts Inc.,EA,USD,Communication Services,Electronic Gaming & Multimedia,NMS,0.01,1.0,1.0
TTWO,"Take-Two Interactive Software, ",TTWO,USD,Communication Services,Electronic Gaming & Multimedia,NMS,0.01,1.0,1.0
SONY,Sony Group Corporation,SONY,USD,Technology,Consumer Electronics,NYQ,0.01,1.0,1.0
SPOT,Spotify Technology S.A.,SPOT,USD,Communication Services,Internet Content & Information,NYQ,0.01,1.0,1.0
PARA,,PARA,USD,,,,0.01,1.0,1.0
WBD,"Warner Bros. Discovery, Inc. - ",WBD,USD,Communication Services,Entertainment,NMS,0.01,1.0,1.0
ROKU,"Roku, Inc.",ROKU,USD,Communication Services,Entertainment,NMS,0.01,1.0,1.0
PINS,"Pinterest, Inc.",PINS,USD,Communication Services,Internet Content & Information,NYQ,0.01,1.0,1.0
SNAP,Snap Inc.,SNAP,USD,Communication Services,Internet Content & Information,NYQ,0.01,1.0,1.0
RDDT,"Reddit, Inc.",RDDT,USD,Communication Services,Internet Content & Information,NYQ,0.01,1.0,1.0
BIDU,"Baidu, Inc.",BIDU,USD,Communication Services,Internet Content & Information,NMS,0.01,1.0,1.0
BABA,Alibaba Group Holding Limited,BABA,USD,Consumer Cyclical,Internet Retail,NYQ,0.01,1.0,1.0
JD,"JD.com, Inc.",JD,USD,Consumer Cyclical,Internet Retail,NMS,0.01,1.0,1.0
PDD,PDD Holdings Inc.,PDD,USD,Consumer Cyclical,Internet Retail,NMS,0.01,1.0,1.0
TCEHY,Tencent Holding Ltd.,TCEHY,USD,Communication Services,Internet Content & Information,PNK,0.01,1.0,1.0
NEE,"NextEra Energy, Inc.",NEE,USD,Utilities,Utilities - Regulated Electric,NYQ,0.01,1.0,1.0
DUK,Duke Energy Corporation (Holdin,DUK,USD,Utilities,Utilities - Regulated Electric,NYQ,0.01,1.0,1.0
SO,Southern Company (The),SO,USD,Utilities,Utilities - Regulated Electric,NYQ,0.01,1.0,1.0
AEP,American Electric Power Company,AEP,USD,Utilities,Utilities - Regulated Electric,NMS,0.01,1.0,1.0
EXC,Exelon Corporation,EXC,USD,Utilities,Utilities - Regulated Electric,NMS,0.01,1.0,1.0
SRE,DBA Sempra,SRE,USD,Utilities,Utilities - Diversified,NYQ,0.01,1.0,1.0
XEL,Xcel Energy Inc.,XEL,USD,Utilities,Utilities - Regulated Electric,NMS,0.01,1.0,1.0
PEG,Public Service Enterprise Group,PEG,USD,Utilities,Utilities - Regulated Electric,NYQ,0.01,1.0,1.0
ED,"Consolidated Edison, Inc.",ED,USD,Utilities,Utilities - Regulated Electric,NYQ,0.01,1.0,1.0
EIX,Edison International,EIX,USD,Utilities,Utilities - Regulated Electric,NYQ,0.01,1.0,1.0
AMT,American Tower Corporation (REI,AMT,USD,Real Estate,REIT - Specialty,NYQ,0.01,1.0,1.0
CCI,Crown Castle Inc.,CCI,USD,Real Estate,REIT - Specialty,NYQ,0.01,1.0,1.0
PLD,"Prologis, Inc.",PLD,USD,Real Estate,REIT - Industrial,NYQ,0.01,1.0,1.0
EQIX,"Equinix, Inc.",EQIX,USD,Real Estate,REIT - Specialty,NMS,0.01,1.0,1.0
DLR,"Digital Realty Trust, Inc.",DLR,USD,Real Estate,REIT - Specialty,NYQ,0.01,1.0,1.0
SPG,"Simon Property Group, Inc.",SPG,USD,Real Estate,REIT - Retail,NYQ,0.01,1.0,1.0
O,Realty Income Corporation,O,USD,Real Estate,REIT - Retail,NYQ,0.01,1.0,1.0
PSA,Public Storage,PSA,USD,Real Estate,REIT - Industrial,NYQ,0.01,1.0,1.0
WELL,Welltower Inc.,WELL,USD,Real Estate,REIT - Healthcare Facilities,NYQ,0.01,1.0,1.0
AVB,"AvalonBay Communities, Inc.",AVB,USD,Real Estate,REIT - Residential,NYQ,0.01,1.0,1.0
NVO,Novo Nordisk A/S,NVO,USD,Healthcare,Drug Manufacturers - General,NYQ,0.01,1.0,1.0
AZN,Astrazeneca PLC,AZN,USD,Healthcare,Drug Manufacturers - General,NMS,0.01,1.0,1.0
SNY,Sanofi,SNY,USD,Healthcare,Drug Manufacturers - General,NMS,0.01,1.0,1.0
NOVN.SW,NOVARTIS N,NOVN.SW,CHF,Healthcare,Drug Manufacturers - General,EBS,0.01,1.0,1.0
NESN.SW,NESTLE N,NESN.SW,CHF,Consumer Defensive,Packaged Foods,EBS,0.01,1.0,1.0
MC.PA,LVMH,MC.PA,EUR,Consumer Cyclical,Luxury Goods,PAR,0.01,1.0,1.0
OR.PA,L'OREAL,OR.PA,EUR,Consumer Defensive,Household & Personal Products,PAR,0.01,1.0,1.0
TTE.PA,TOTALENERGIES,TTE.PA,EUR,Energy,Oil & Gas Integrated,PAR,0.01,1.0,1.0
SAN.PA,SANOFI,SAN.PA,EUR,Healthcare,Drug Manufacturers - General,PAR,0.01,1.0,1.0
AIR.PA,AIRBUS SE,AIR.PA,EUR,Industrials,Aerospace & Defense,PAR,0.01,1.0,1.0
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,BMW.DE,EUR,Consumer Cyclical,Auto Manufacturers,GER,0.01,1.0,1.0
DTE.DE,DEUTSCHE TELEKOM AG           N,DTE.DE,EUR,Communication Services,Telecom Services,GER,0.01,1.0,1.0
SIE.DE,SIEMENS AG                    N,SIE.DE,EUR,Industrials,Specialty Industrial Machinery,GER,0.01,1.0,1.0
RMS.PA,HERMES INTL,RMS.PA,EUR,Consumer Cyclical,Luxury Goods,PAR,0.01,1.0,1.0
KER.PA,KERING,KER.PA,EUR,Consumer Cyclical,Luxury Goods,PAR,0.01,1.0,1.0
SU.PA,SCHNEIDER ELECTRIC SE,SU.PA,EUR,Industrials,Specialty Industrial Machinery,PAR,0.01,1.0,1.0
DG.PA,VINCI,DG.PA,EUR,Industrials,Engineering & Construction,PAR,0.01,1.0,1.0
BNP.PA,BNP PARIBAS ACT.A,BNP.PA,EUR,Financial Services,Banks - Regional,PAR,0.01,1.0,1.0
ADS.DE,adidas AG                     N,ADS.DE,EUR,Consumer Cyclical,Footwear & Accessories,GER,0.01,1.0,1.0
ENEL.MI,ENEL,ENEL.MI,EUR,Utilities,Utilities - Diversified,MIL,0.01,1.0,1.0
